"gender","age","counts_pictures","counts_profileVisits","counts_kisses","flirtInterests_chat","flirtInterests_friends","flirtInterests_date","connectedToFacebook","isVIP","isVerified","lang_count","lang_fr","lang_en","lang_de","lang_it","lang_es","lang_pt","countDetails","freshman","hasBirthday","highlighted"
FALSE,23,4,8257,413,"true","true","false","false","false","false",1,"false","false","true","false","false","false",0.810000002384186,"false","false","false"
FALSE,20,8,3882,149,"true","false","false","false","true","true",1,"false","false","true","false","false","false",0.879999995231628,"false","false","false"
FALSE,24,2,8886,211,"true","false","true","false","false","true",1,"false","false","true","false","false","false",0.689999997615814,"false","false","false"
FALSE,23,9,8964,143,"true","true","true","false","true","false",2,"false","true","true","false","false","false",0.959999978542328,"false","false","false"
FALSE,21,26,24371,1928,"false","true","false","false","true","true",2,"false","true","true","false","false","false",0.879999995231628,"false","false","false"
FALSE,25,6,8081,303,"true","true","true","false","false","false",7,"true","true","true","true","true","false",0.850000023841858,"false","false","false"
FALSE,22,9,21242,1004,"true","true","true","false","false","false",1,"false","false","true","false","false","false",0.379999995231628,"false","false","false"
FALSE,24,3,21368,844,"true","true","false","false","false","false",4,"false","true","true","false","true","false",1,"false","false","false"
FALSE,26,2,399,55,"false","true","false","false","false","false",2,"true","false","true","false","false","false",0.230000004172325,"false","false","false"
FALSE,20,10,14779,447,"false","true","false","false","false","false",1,"false","false","true","false","false","false",0.310000002384186,"false","false","false"
FALSE,22,4,11305,321,"true","true","true","false","false","false",1,"false","false","true","false","false","false",0.620000004768372,"false","false","false"
FALSE,23,4,58944,3599,"true","true","true","false","false","true",3,"true","true","true","false","false","false",0.769999980926514,"false","false","false"
FALSE,20,10,22846,656,"true","true","true","false","false","true",1,"false","false","true","false","false","false",0.850000023841858,"false","false","false"
FALSE,25,8,9959,170,"true","true","false","false","false","false",2,"false","false","true","false","true","false",0.769999980926514,"false","false","false"
FALSE,19,19,9992,697,"true","true","false","false","false","true",1,"false","false","true","false","false","false",0.959999978542328,"false","false","false"
FALSE,21,1,6496,263,"true","false","false","false","false","true",1,"false","false","true","false","false","false",0.810000002384186,"false","false","false"
FALSE,20,3,34818,1680,"true","false","false","false","false","false",1,"false","false","true","false","false","false",0.810000002384186,"false","false","false"
FALSE,20,6,9664,268,"true","true","false","false","false","true",1,"false","false","true","false","false","false",0.310000002384186,"false","false","false"
FALSE,20,11,2608,115,"true","true","false","false","false","false",1,"false","false","true","false","false","false",0.689999997615814,"false","false","false"
FALSE,24,6,190,6,"true","false","false","false","false","false",1,"false","false","true","false","false","false",0.270000010728836,"false","false","false"
FALSE,26,22,31079,1754,"true","true","false","false","false","false",1,"false","false","true","false","false","false",0.5799999833107,"false","false","false"
FALSE,22,15,40214,3099,"true","true","false","false","false","false",1,"false","false","true","false","false","false",0.850000023841858,"false","false","false"
FALSE,23,3,16531,917,"true","true","false","false","false","true",1,"false","false","true","false","false","false",0.419999986886978,"false","false","false"
FALSE,25,5,26553,1428,"true","false","false","false","false","false",1,"false","false","true","false","false","false",0.540000021457672,"false","false","false"
FALSE,20,13,16341,754,"false","false","false","false","false","false",1,"false","false","true","false","false","false",0.419999986886978,"false","false","false"
FALSE,25,4,6092,115,"false","true","true","false","false","false",1,"false","false","true","false","false","false",0.9200000166893,"false","false","false"
FALSE,21,3,646,20,"true","false","false","false","false","false",1,"false","false","true","false","false","false",0.349999994039536,"false","false","false"
FALSE,22,4,15787,643,"true","true","false","false","false","false",3,"false","true","true","false","false","false",0.769999980926514,"false","false","false"
FALSE,20,4,130,5,"true","true","false","false","false","false",1,"true","false","false","false","false","false",0.5799999833107,"false","false","false"
FALSE,23,14,15561,582,"false","true","false","false","false","false",3,"true","true","true","false","false","false",0.9200000166893,"false","false","false"
FALSE,19,3,19909,1045,"true","false","false","false","false","false",1,"false","false","true","false","false","false",0.879999995231628,"false","false","false"
FALSE,25,20,10553,957,"true","true","false","false","false","false",1,"false","false","false","false","false","false",1,"false","false","false"
FALSE,24,9,16851,1068,"true","true","true","false","false","false",2,"false","false","true","true","false","false",0.769999980926514,"false","false","false"
FALSE,23,8,38702,945,"true","true","false","false","false","true",1,"false","false","true","false","false","false",0.649999976158142,"false","false","false"
FALSE,21,23,12443,1301,"true","true","true","false","false","false",1,"false","false","true","false","false","false",0.850000023841858,"false","false","false"
FALSE,19,16,29916,1725,"true","true","false","false","true","true",1,"false","false","true","false","false","false",0.810000002384186,"false","false","false"
FALSE,24,11,17097,1188,"true","true","true","false","false","true",1,"true","false","false","false","false","false",0.959999978542328,"false","false","false"
FALSE,20,5,3501,106,"true","true","false","false","false","true",1,"false","false","true","false","false","false",0.810000002384186,"false","false","false"
FALSE,23,9,2642,104,"true","true","false","false","false","false",1,"true","false","false","false","false","false",1,"false","false","false"
FALSE,21,4,9386,245,"true","true","false","false","false","false",3,"false","true","true","false","false","false",0.769999980926514,"false","false","false"
FALSE,21,16,5954,61,"false","false","false","false","false","false",1,"false","false","true","false","false","false",0.769999980926514,"false","false","false"
FALSE,23,0,4362,217,"true","true","true","false","false","false",1,"false","false","true","false","false","false",1,"false","false","false"
FALSE,21,9,19018,757,"true","true","false","false","false","true",2,"false","true","true","false","false","false",0.5,"false","false","false"
FALSE,19,9,10165,169,"false","false","false","false","false","false",3,"true","true","true","false","false","false",0.349999994039536,"false","false","false"
FALSE,22,5,14885,290,"true","true","true","false","false","false",1,"false","false","true","false","false","false",0.850000023841858,"false","false","false"
